Dataset,Training_Release,%Training,%Defective_training,%Defective_testing,Classifier,Feature_Selection,Balancing,Sensitivity,TP,FP,TN,FN,Precision,Recall,ROC_Area,Kappa
BOOKKEEPER,1,0.07722007722007722,0.42083333333333334,0.2558139534883721,Random Forest,No selection,No sampling,No sensitive,26,17,207,51,0.6046511627906976,0.33766233766233766,0.8015132189239332,0.3061224489795918
BOOKKEEPER,1,0.07722007722007722,0.42083333333333334,0.2558139534883721,Random Forest,No selection,No sampling,Sensitive threshold,12,2,222,65,0.8571428571428571,0.15584415584415584,0.7980635435992579,0.2008321775312067
BOOKKEEPER,1,0.07722007722007722,0.42083333333333334,0.2558139534883721,Random Forest,No selection,No sampling,Sensitive learning,6,2,222,71,0.75,0.07792207792207792,0.5344967532467533,0.09772923253808544
BOOKKEEPER,1,0.07722007722007722,0.42083333333333334,0.2558139534883721,Random Forest,No selection,Oversampling,No sensitive,42,36,188,35,0.5384615384615384,0.5454545454545454,0.7137639146567718,0.3831076985249545
BOOKKEEPER,1,0.07722007722007722,0.42083333333333334,0.2558139534883721,Random Forest,No selection,Oversampling,Sensitive threshold,21,11,213,56,0.65625,0.2727272727272727,0.7335053339517625,0.27667587245794617
BOOKKEEPER,1,0.07722007722007722,0.42083333333333334,0.2558139534883721,Random Forest,No selection,Oversampling,Sensitive learning,11,6,218,66,0.6470588235294118,0.14285714285714285,0.5580357142857143,0.15594329334787346
BOOKKEEPER,1,0.07722007722007722,0.42083333333333334,0.2558139534883721,Random Forest,No selection,Undersampling,No sensitive,36,28,196,41,0.5625,0.4675324675324675,0.7817717996289425,0.362620837808808
BOOKKEEPER,1,0.07722007722007722,0.42083333333333334,0.2558139534883721,Random Forest,No selection,Undersampling,Sensitive threshold,32,20,204,45,0.6153846153846154,0.4155844155844156,0.7592764378478665,0.3652055416761301
BOOKKEEPER,1,0.07722007722007722,0.42083333333333334,0.2558139534883721,Random Forest,No selection,Undersampling,Sensitive learning,12,7,217,65,0.631578947368421,0.15584415584415584,0.562297077922078,0.16549865229110514
BOOKKEEPER,1,0.07722007722007722,0.42083333333333334,0.2558139534883721,Random Forest,No selection,Smote,No sensitive,35,28,196,42,0.5555555555555556,0.45454545454545453,0.7440572820037106,0.35045317220543815
BOOKKEEPER,1,0.07722007722007722,0.42083333333333334,0.2558139534883721,Random Forest,No selection,Smote,Sensitive threshold,16,6,218,61,0.7272727272727273,0.2077922077922078,0.7994260204081632,0.23641664457990982
BOOKKEEPER,1,0.07722007722007722,0.42083333333333334,0.2558139534883721,Random Forest,No selection,Smote,Sensitive learning,12,7,217,65,0.631578947368421,0.15584415584415584,0.562297077922078,0.16549865229110514
BOOKKEEPER,1,0.07722007722007722,0.42083333333333334,0.2558139534883721,Random Forest,CFS with Best First,No sampling,No sensitive,31,20,204,46,0.6078431372549019,0.4025974025974026,0.7963821892393321,0.35235052487448654
BOOKKEEPER,1,0.07722007722007722,0.42083333333333334,0.2558139534883721,Random Forest,CFS with Best First,No sampling,Sensitive threshold,16,2,222,61,0.8888888888888888,0.2077922077922078,0.777916280148423,0.2656546489563565
BOOKKEEPER,1,0.07722007722007722,0.42083333333333334,0.2558139534883721,Random Forest,CFS with Best First,No sampling,Sensitive learning,8,3,221,69,0.7272727272727273,0.1038961038961039,0.5452516233766234,0.12591756070016918
BOOKKEEPER,1,0.07722007722007722,0.42083333333333334,0.2558139534883721,Random Forest,CFS with Best First,Oversampling,No sensitive,30,25,199,47,0.5454545454545454,0.38961038961038963,0.7727852504638218,0.30676220331392745
BOOKKEEPER,1,0.07722007722007722,0.42083333333333334,0.2558139534883721,Random Forest,CFS with Best First,Oversampling,Sensitive threshold,55,68,156,22,0.44715447154471544,0.7142857142857143,0.7442312152133581,0.34340006786562616
BOOKKEEPER,1,0.07722007722007722,0.42083333333333334,0.2558139534883721,Random Forest,CFS with Best First,Oversampling,Sensitive learning,13,6,218,64,0.6842105263157895,0.16883116883116883,0.5710227272727273,0.18867924528301905
BOOKKEEPER,1,0.07722007722007722,0.42083333333333334,0.2558139534883721,Random Forest,CFS with Best First,Undersampling,No sensitive,35,23,201,42,0.603448275862069,0.45454545454545453,0.8019190630797773,0.38286597482888063
BOOKKEEPER,1,0.07722007722007722,0.42083333333333334,0.2558139534883721,Random Forest,CFS with Best First,Undersampling,Sensitive threshold,38,55,169,39,0.40860215053763443,0.4935064935064935,0.737360853432282,0.23214285714285712
BOOKKEEPER,1,0.07722007722007722,0.42083333333333334,0.2558139534883721,Random Forest,CFS with Best First,Undersampling,Sensitive learning,13,6,218,64,0.6842105263157895,0.16883116883116883,0.5710227272727273,0.18867924528301905
BOOKKEEPER,1,0.07722007722007722,0.42083333333333334,0.2558139534883721,Random Forest,CFS with Best First,Smote,No sensitive,56,106,118,21,0.345679012345679,0.7272727272727273,0.6809485157699443,0.1865037985997319
BOOKKEEPER,1,0.07722007722007722,0.42083333333333334,0.2558139534883721,Random Forest,CFS with Best First,Smote,Sensitive threshold,22,9,215,55,0.7096774193548387,0.2857142857142857,0.8045570500927643,0.3054013124684505
BOOKKEEPER,1,0.07722007722007722,0.42083333333333334,0.2558139534883721,Random Forest,CFS with Best First,Smote,Sensitive learning,13,6,218,64,0.6842105263157895,0.16883116883116883,0.5710227272727273,0.18867924528301905
BOOKKEEPER,1,0.07722007722007722,0.42083333333333334,0.2558139534883721,Random Forest,Wrapper with Best First,No sampling,No sensitive,47,61,163,30,0.4351851851851852,0.6103896103896104,0.7478548237476809,0.29861982434127987
BOOKKEEPER,1,0.07722007722007722,0.42083333333333334,0.2558139534883721,Random Forest,Wrapper with Best First,No sampling,Sensitive threshold,26,10,214,51,0.7222222222222222,0.33766233766233766,0.7724373840445269,0.35505286451930174
BOOKKEEPER,1,0.07722007722007722,0.42083333333333334,0.2558139534883721,Random Forest,Wrapper with Best First,No sampling,Sensitive learning,25,7,217,52,0.78125,0.3246753246753247,0.6467126623376623,0.3630429324629677
BOOKKEEPER,1,0.07722007722007722,0.42083333333333334,0.2558139534883721,Random Forest,Wrapper with Best First,Oversampling,No sensitive,59,94,130,18,0.38562091503267976,0.7662337662337663,0.7455936920222634,0.26180257510729615
BOOKKEEPER,1,0.07722007722007722,0.42083333333333334,0.2558139534883721,Random Forest,Wrapper with Best First,Oversampling,Sensitive threshold,46,70,154,31,0.39655172413793105,0.5974025974025974,0.726461038961039,0.24430137463024187
BOOKKEEPER,1,0.07722007722007722,0.42083333333333334,0.2558139534883721,Random Forest,Wrapper with Best First,Oversampling,Sensitive learning,36,34,190,41,0.5142857142857142,0.4675324675324675,0.6578733766233766,0.3254549257477516
